expnum seeing efftime survey_speed comment
1300662 1.6520296335220337 13.973325729370117 0.04657775163650513 "Automatically flagged"
1300664 1.524642825126648 9.894586563110352 0.032981954514980316 "Automatically flagged"
1300665 1.5108388662338257 48.27366638183594 0.16091221570968628 "Automatically flagged"
1300666 1.533199429512024 15.9285306930542 0.053095102310180664 "Automatically flagged"
1300667 1.559975504875183 30.033193588256836 0.10011064261198044 "Automatically flagged"
1300668 1.4702972173690796 13.207537651062012 0.044025126844644547 "Automatically flagged"
1300672 2.3705461025238037 45.972694396972656 0.1532423198223114 "Automatically flagged"
1300685 1.2377848625183105 6.7494282722473145 0.02249809354543686 "Automatically flagged"
1300686 1.2571477890014648 16.593339920043945 0.05531113222241402 "Automatically flagged"
1300687 1.3648067712783813 8.953479766845703 0.02984493225812912 "Automatically flagged"
1300688 1.242681622505188 7.106368541717529 0.023687895387411118 "Automatically flagged"
1300689 1.2623889446258545 2.8355836868286133 0.009451945312321186 "Automatically flagged"
1300690 1.2648396492004395 1.8828524351119995 0.0062761749140918255 "Automatically flagged"
1300691 1.3148928880691528 2.492614984512329 0.008308717049658298 "Automatically flagged"
1300692 1.2503243684768677 6.640319347381592 0.02213439717888832 "Automatically flagged"
1300693 1.2798796892166138 2.675248622894287 0.008917495608329773 "Automatically flagged"
1300694 1.2218726873397827 3.848916530609131 0.01282972190529108 "Automatically flagged"
1300695 1.3473433256149292 2.510380268096924 0.008367934264242649 "Automatically flagged"
1300696 1.257468819618225 14.24355411529541 0.047478511929512024 "Automatically flagged"
1300703 1.7015364170074463 3.8677971363067627 0.012892656959593296 "Automatically flagged"
1300704 1.5021899938583374 2.8581931591033936 0.009527310729026794 "Automatically flagged"
1301140 1.339703917503357 13.68960189819336 0.05155021324753761 "Automatically flagged"
1301144 0.9806286692619324 16.07967758178711 0.05359892547130585 "Automatically flagged"
1301145 1.0303581953048706 24.724817276000977 0.08241605758666992 "Automatically flagged"
1301149 1.0756807327270508 29.5123348236084 0.09837444871664047 "Automatically flagged"
1301150 1.1044347286224365 25.60886573791504 0.08536288887262344 "Automatically flagged"
1301151 1.0817409753799438 23.804956436157227 0.07934985309839249 "Automatically flagged"
1301152 1.1188654899597168 20.9586238861084 0.06986208260059357 "Automatically flagged"
1301153 1.074209213256836 15.926925659179688 0.05308975279331207 "Automatically flagged"
1301154 1.0471607446670532 12.846051216125488 0.042820170521736145 "Automatically flagged"
1301155 1.1447272300720215 4.151984691619873 0.013839948922395706 "Automatically flagged"
1301156 1.1384270191192627 6.89398193359375 0.022979939356446266 "Automatically flagged"
1301157 1.0677642822265625 13.278334617614746 0.04426111653447151 "Automatically flagged"
1301158 1.1239302158355713 5.675832271575928 0.018919439986348152 "Automatically flagged"
1301159 1.260459303855896 2.5719330310821533 0.008573110215365887 "Automatically flagged"
1301160 1.1032419204711914 6.336902141571045 0.021123006939888 "Automatically flagged"
1301161 1.3493932485580444 1.9562819004058838 0.006520939525216818 "Automatically flagged"
1301162 1.1031583547592163 3.7799806594848633 0.012599935755133629 "Automatically flagged"
1301163 1.0438982248306274 4.319103240966797 0.014397011138498783 "Automatically flagged"
1301164 1.3589533567428589 7.559586048126221 0.025198619812726974 "Automatically flagged"
1301165 1.3127738237380981 5.300875186920166 0.01766958460211754 "Automatically flagged"
1301166 1.282801628112793 2.945951461791992 0.009819838218390942 "Automatically flagged"
